,ID,mangaid,subfind_id,ifusize,redshift,lambda_r,star_axis,gas_axis,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature
2523,TNG100-582479-IFU-61,1-134020,582479,61,0.028507263974101287,0.637592502358917,334.5,329.5,5.0,2,0,2,0
2524,TNG100-152062-IFU-61,1-133948,152062,61,0.029120062029429974,0.5861158895644819,11.0,,,2,0,0,0
2525,TNG100-226220-IFU-61,1-133922,226220,61,0.030475459920508863,0.42354804624749787,331.5,,,1,0,0,0
2526,TNG100-367457-IFU-37,1-133976,367457,37,0.05647244664267386,0.4190128850232725,170.5,130.0,40.5,2,0,2,0
2527,TNG100-467308-IFU-37,1-133941,467308,37,0.03215056498332697,0.2827943971090898,66.5,,,1,0,0,0
2528,TNG100-389156-IFU-61,1-593159,389156,61,0.08759357342478258,0.5744648314012405,61.0,73.0,12.0,2,0,2,0
2529,TNG100-613856-IFU-61,1-245695,613856,61,0.022366589172806747,0.7102789885503209,295.0,306.5,11.5,2,0,2,0
2530,TNG100-521383-IFU-127,1-245686,521383,127,0.03850173170472297,0.6328661276532708,288.0,282.5,5.5,2,0,2,0
2531,TNG100-653044-IFU-127,1-246196,653044,127,0.03750764831112089,0.7974068710969127,38.5,71.0,32.5,1,0,1,0
2532,TNG100-161181-IFU-127,1-246108,161181,127,0.03840965981468319,0.7157948260755929,224.5,,,2,0,0,0
2533,TNG100-425339-IFU-37,1-246177,425339,37,0.038139298224731714,0.2072365533354168,193.0,16.5,176.5,1,0,1,0
2534,TNG100-206232-IFU-37,1-245684,206232,37,0.03824702975451421,0.5479580799098036,25.0,,,1,0,0,0
2535,TNG100-128400-IFU-37,1-245896,128400,37,0.038045774023351006,0.8172379247963186,300.0,288.0,12.0,2,0,2,0
2536,TNG100-41683-IFU-61,1-245869,41683,61,0.03920253410439392,0.4346355337094857,191.5,117.5,74.0,1,0,0,0
2537,TNG100-405298-IFU-61,1-246191,405298,61,0.041231625283522914,0.7739533393454717,251.0,253.5,2.5,2,0,2,0
2538,TNG100-161193-IFU-61,1-245908,161193,61,0.035574654489001725,0.4253972849345994,28.0,50.0,22.0,1,0,1,0
2539,TNG100-599029-IFU-61,1-245670,599029,61,0.041286992594685865,0.7417661832591569,188.0,180.5,7.5,2,0,2,0
2540,TNG100-482714-IFU-127,1-245811,482714,127,0.08636155977189695,0.5601482707780645,247.5,265.5,18.0,2,0,2,0
2541,TNG100-656555-IFU-19,1-246175,656555,19,0.02907574291965782,0.67491829976164,322.0,334.0,12.0,2,0,2,0
2542,TNG100-446172-IFU-37,1-245879,446172,37,0.030530857228350493,0.12476243644049954,354.5,,,1,1,0,0
2543,TNG100-292356-IFU-37,1-630590,292356,37,0.052474672114145166,0.6959693129236927,129.0,43.0,86.0,2,0,1,0
2544,TNG100-569780-IFU-37,1-569034,569780,37,0.051875839805270836,0.29615951521466793,223.5,250.5,27.0,2,0,1,0
2545,TNG100-481254-IFU-61,1-93260,481254,61,0.04489427340476032,0.5124653431389227,86.5,80.0,6.5,2,0,1,2
2546,TNG100-529863-IFU-61,1-93598,529863,61,0.05525423985784335,0.6198560745183891,289.0,211.0,78.0,1,0,1,0
2547,TNG100-467445-IFU-91,1-633839,467445,91,0.06761279122479055,0.6136943068174799,188.0,169.5,18.5,1,0,1,0
2548,TNG100-569874-IFU-91,1-93288,569874,91,0.02249361942009745,0.6617784274187835,247.5,249.0,1.5,2,0,2,0
2549,TNG100-389345-IFU-127,1-92519,389345,127,0.07679178563512508,0.6431007004571274,251.5,251.0,0.5,1,0,1,0
2550,TNG100-432712-IFU-127,1-92635,432712,127,0.037711208314442496,0.6277013338036523,116.0,108.0,8.0,1,0,1,0
2551,TNG100-435782-IFU-127,1-92526,435782,127,0.08316046042671174,0.6402237587616826,0.5,5.0,4.5,2,0,2,0
2552,TNG100-248160-IFU-127,1-92537,248160,127,0.032528950097270484,0.7495366201578433,159.0,156.5,2.5,2,0,2,0
2553,TNG100-681031-IFU-19,1-93257,681031,19,0.018406829194274832,0.2701948352993167,334.5,132.5,158.0,0,0,0,0
2554,TNG100-134853-IFU-37,1-93233,134853,37,0.070660866055858,0.10950733285713037,80.5,,,2,0,0,0
2555,TNG100-204255-IFU-37,1-93236,204255,37,0.026858376201950668,0.3837442537956615,271.5,,,2,0,0,0
2556,TNG100-108034-IFU-37,1-92502,108034,37,0.04968129869926306,0.5688065897296508,83.5,69.0,14.5,2,0,2,0
2557,TNG100-491026-IFU-37,1-93231,491026,37,0.0374250899856325,0.5278610211940865,303.5,349.0,45.5,1,0,1,0
2558,TNG100-158865-IFU-61,1-92615,158865,61,0.04052293336446787,0.5124427254554791,251.0,,,2,0,0,0
2559,TNG100-60739-IFU-61,1-93352,60739,61,0.10973234437576547,0.6116922853079331,66.5,41.5,25.0,2,0,1,0
2560,TNG100-616810-IFU-91,1-210017,616810,91,0.030180551033498593,0.5855996120814985,224.0,236.5,12.5,1,0,1,0
